appid,game_name,slice,recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
2868840,Slay the Spire 2,bomb_window,225607301,76561198078391936,233,21,4589,0,3299,english,Anita must leave......,1778881945,1778881945,False,19,0,0.539661824703216553,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225607047,76561198067301593,0,49,345,0,202,english,"The first, but bigger and better.  Would love another couple characters!!!",1778881742,1778881742,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606854,76561198208757549,0,4,1496,0,681,english,"Great game, lots of strategy required but overall very good. I can't say I'm very good at deck-building games but I'm still having a ton of fun!!!  And by the nature of the game it's super easy to run, great for laptops or handhelds. That's how I've been playing.",1778881602,1778881602,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606683,76561198036801718,0,2,16578,0,16400,english,Awesome game. Super addicting,1778881455,1778881455,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606569,76561198088334010,0,9,480,0,315,english,good game,1778881349,1778881349,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606458,76561198126805097,0,5,15703,0,14846,english,Great improvement off the first game. The Multiplayer is by far the most fun.,1778881273,1778881273,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606320,76561199008244520,34,2,9437,0,6013,english,"Amazing, does need just a bit of balancing and stuff but it's early release so makes sense",1778881159,1778881159,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606045,76561199191408077,0,3,5558,56,3313,english,Learn mechanics and its amazing,1778880954,1778880954,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225606041,76561198046232192,0,1,19703,2606,9063,english,"Some aspects are still rough, as one might expect in Early Access---the writing for events and so on could use a pass from an editor, e.g.---and parts of the balance are still being worked out, but this is a phenomenal game and I think I already prefer it to the first one, which was itself very good. If you have any interest in the genre, I think it's worth getting.",1778880952,1778880952,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605719,76561198004912950,0,2,1208,0,1038,english,The fact that game developers support people that turn gaming into a concentration camp baffles me.,1778880696,1778880696,False,8,0,0.520547926425933838,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605697,76561198857931794,51,34,7881,1707,321,english,Woke is so back.,1778880682,1778880682,True,1,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605380,76561198101853424,0,1,8401,185,5892,english,Good,1778880454,1778880454,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605248,76561198044880614,141,9,14247,1631,7700,english,I love doormaker,1778880355,1778880355,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605245,76561198819454644,45,6,9015,903,4933,english,如果你只是个连这游戏boss都打不过的菜鸟，那就怪游戏开发商吧，你就是个废物。我用中文写这篇评论就是为了让他们看到。,1778880354,1778880354,True,1,0,0.523809552192687988,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605162,76561198217362605,0,6,5757,0,5241,english,Already well worth the price and im excited for what comes next. I feel like the characters have really good identity between each other and multiplayer is an awesome addition (though it is probably a bit too easy right now),1778880301,1778880301,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225605000,76561198059457219,0,5,9852,249,5807,english,"Look, clearly Anita didnt impact the game. I dislike her very much, like she is terrible. But like chill with the political stuff.",1778880182,1778880182,True,1,0,0.504132270812988281,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225604393,76561198078657935,383,22,822,0,822,english,China #1,1778879749,1778879749,True,0,0,0.495867788791656494,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225604336,76561198437330784,126,16,6140,37,2502,english,very good,1778879706,1778879706,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225603873,76561198967367857,104,4,27998,183,22730,english,DEi get out！,1778879358,1778879358,False,9,0,0.478087663650512695,3,True,False,True
2868840,Slay the Spire 2,bomb_window,225603714,76561197967191194,0,190,2626,174,1310,english,"why my game sjw at me? ""do you believe there should be more diverse representations of women and minorities in games."" oh no :0... actually that's fine who cares.",1778879252,1779259111,True,0,0,0.454545468091964722,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225603366,76561198798929771,0,2,661,0,661,english,"I was genuinely excited for Slay the Spire 2 because the first game is one of the best roguelike deckbuilders ever made. The gameplay foundation is still strong, but finding out that Anita Sarkeesian was brought in as a consultant honestly raised some concerns for me.  Whether people agree with her or not, she has been a very divisive figure in gaming for years, and for many players her involvement is seen as a red flag because it often signals unnecessary ideological influence being brought into games instead of focusing purely on gameplay and player experience.  What frustrates me most is that developers keep involving controversial consultants without being transparent about what their role actually was. Maybe her involvement was minor, maybe not — but when players see names associated with activism and culture-war discussions attached to a beloved franchise, it naturally creates distrust.  I play games to escape politics and modern social messaging, not to wonder whether creative decisions were filtered through consultants pushing a particular worldview. Even if the gameplay is still solid, this kind of decision hurts my confidence in the future direction of the franchise.  I’m not leaving this review out of hate. I just think developers should understand that many longtime gamers are tired of ideological influence creeping into entertainment, especially in franchises that never needed it in the first place.",1778878996,1778878996,False,13,0,0.506859064102172852,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225603101,76561199579802903,0,1,24945,3699,6441,english,"Great game, just tired of the ♥♥♥♥♥♥♥♥ that is aeonglass in the beta, but it is the beta hopefully it gets a proper tuning",1778878790,1779852972,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225603085,76561199189666475,42,12,1980,0,1521,english,its ok i guess,1778878779,1778878786,True,0,0,0.5,0,True,False,True
